0037	24+1339	काशिकावृत्ति	जयादित्य & वामन	--	Paper	DN	a.11"x5", ba.10"x4.5"	a.8.5"x3.5", ba.8"á3"	अ.१२, ब.१०	अ.४५, ब.३८	६७+४५+१०३+१०७+१११+१५८+६५+५५=७११	--	Fair	--	--
0038	1058	क्त्वाप्रत्ययविचार	--	--	Paper	DN	10.3"x5.5"	9"x4.4"	22	50	1	--	Good	--	--
0039	633	लघुकौमुदी	वरदराज	--	Paper	DN	8"x4"	6.5"x2.5"	7	28	5	--	Good	--	--
0040	447 a	लिंगानुशासन वृत्तिसहित	पाणिनी	--	Paper	DN	8.2"x3.7"	6.7"x3"	9	27	६+१५=२१	केशवजी s/o गोविंद	Good	V.S. 1713	V.S. 1713
0041	494	मध्यमनोरमा (सुप्तिङन्तव्याख्यान)	--	राम शर्मा	Paper	DN	9.7"x4.3"	7.6"x2.5"	9	33	६८+१०७= १७५	--	Good	--	--
0042	485	मध्यसिद्धांतकौमुदी (उतरार्धकृत्प्रक्रिया)	वरदराज	--	Paper	DN	8.3"x3.8"	6"x2.5"	13	30	19	सिताराम	Good	shaka 1693	shaka 1693
0043	767	मध्यसिद्धान्तकौमुदी (स्वरप्रक्रिया)	वरदराज	--	Paper	DN	8.2"x4"	6.5"x2.6"	12	32	40	राम जडिय	Good	V.S. 1694	V.S. 1694
0044	1358	मध्यसिद्धान्तकौमुदी 	वरदराज	--	Paper	DN	8.3"x4"	6.3"x2"	9	28	9	--	Fair	--	--
0045	1492	मध्यसिद्धान्तकौमुदी 	वरदराज	--	Paper	DN	8.3"x4.2"	6"x2.2"	9	28	18	--	Good	--	--
0046	314	महाभाष्य (१.१.१) प्रदीपसहित	पतंजलि	कैयट	Paper	DN	12"x8.2"	10"x6.2"	24	43	10	--	Fair	--	--
0047	80	महाभाष्य (१.१) प्रदीपसहित	पतंजलि	कैयट	Paper	DN	12"x5.7"	10.6"x4"	अ.१८, ब.१६	55	११+१३०= १४१	--	Good	--	--
0048	651	पदरत्न चतुर्ज्ञानसहित	--	--	Paper	DN	10.8"x4.2"	8"x2.3"	9	40	22	--	Good	shaka 1720	shaka 1720
0049	731	पदवाक्यरत्नाकर	गोकुलनाथ शर्मा	--	Paper	DN	11.8"x4"	9.5"x2.4"	9	42	146	घनश्याम जडिय  s/o  बालकृष्ण	Good	shaka 1715	shaka 1715
0050	495	परिभाषार्थमञ्जरी	--	भीम s/o माधवाचार्य	Paper	DN	10.2"x4.8"	8.6"x3.6"	13	37	36	--	Fair	--	--
0051	448	परिभाषासूत्र	--	--	Paper	DN	6"x4"	4.4"x3"	11	22	5	--	Good	--	--
0052	316	परिभाषेन्दुशेखर 	नागोजी भट्ट	हरि दीक्षित	Paper	DN	12.2"x4"	10"x2.7"	9	43	59	--	Good	V.S. 1898	V.S. 1898
0053	317	प्रौढमनोरमाटीका लघुशब्दरत्न	--	--	Paper	DN	12"x4"	9"x2.4"	8	40	44	--	Good	--	--
0054	816	पुनर्वृत्तिविवेचना	आशाधर	--	Paper	DN	9.7"x4.5"	8"x3"	11	35	6	--	Fair	--	--
0055	780	रूपावली	--	--	Paper	DN	9"x4.9"	8"x4"	15	34	6	--	Poor	--	--
0056	1452	शब्दानुशासन (१-५)	हेमचन्द्र	--	Paper	DN	9.4"x4.1"	7.8"x2.8"	10	50	18	--	Fair	--	--
0057	861	सभ्याभरण	विश्वनाथ	--	Paper	DN	10.3"x5.2"	8.5"x4.2"	20	46	3	--	Good	--	--
0058	813	समासचक्र	--	--	Paper	DN	8.1"x3.9"	6.3"x2.6" "	10	40	3	s/o जिवण भट्ट	Good	--	--
0059	640 ka	समासचक्र	--	--	Paper	DN	8.3"x4"	7"x3"	9	34	5	--	Good	--	--
0060	1466	समासचक्र	--	--	Paper	DN	9.2"x4.1"	7.8"x2.2"	7	33	3	--	Poor	--	--
0061	315	समासवाद	भट्टाचार्य सार्वभौम रामचन्द्र	--	Paper	DN	12.5"x4.9" "	9.7"x3.2"	9	52	9	--	Good	--	--
0062	658	व्याकरण ग्रन्थ	--	--	Paper	DN	8.5"x4"	6.8"x2.7"	11	36	४२+३७+१४+४३+१५+५+३६+५४+४८+३०+९+३७+२+८७=४७०	--	Fair	--	--
0063	604	सारस्वती प्रक्रिया (तिबादिवृत्ति)	अनुभूतिस्वरूपाचार्य	--	Paper	DN	10.2"x4.6"	8.5"x3.6"	10	34	58	--	Good	--	--
0064	1151	शतृशानजादेशविचार	आशाधर s/oरामजी भट्ट	--	Paper	DN	9.5"x4.5"	7.5"x2.8"	10	32	8	--	Good	--	--
0065	318	सिद्धान्तकौमुदी पूर्वार्ध	भट्टोजी दीक्षित	--	Paper	DN	11.9"x4.2"	9.5"x2.2"	10	55	51	--	Good	--	--
