Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0353	Purana	व्यतिपातकथा				V.S. 1778			9.1"x5.3"	6	Sanskrit	Devanagari		
SDPB0354	Purana Ritual	अनन्तचतुर्दशीव्रतोद्यापनविधि		मायाशङ्कर		V.S. 1793			8.5"x4.9"	4	Sanskrit	Devanagari		In slip, scribe identified as author.
SDPB0355	Dharmashastra	वास्तुकर्म		शदाशङ्कर		V.S. 1803		सूर्यपुर	8.7"x5.5"	13	Sanskrit	Devanagari		In slip, scribe identified as author.
SDPB0356	Dharmashastra	स्नानविधि							8.2"x4.6"	6	Sanskrit	Devanagari		
SDPB0357	Stotra	मयपराधस्तोत्र	शङ्कराचार्य						9.3"x4.8"	2	Sanskrit	Devanagari		
SDPB0357A	Purana Ritual	वर्धमानद्वादशीव्रत		रामदेव		V.S. 1778			9.3"x4.1"	11	Sanskrit	Devanagari		In slip, scribe identified as author.
SDPB0358	Stotra	गोविन्दाष्टक	शङ्कराचार्य						5.3"x3.8"	5	Sanskrit	Devanagari		
SDPB0358A	Dharmashastra	वापीकूपतडागानां वास्तुपद्धति		रविदत्त		V.S. 1765		उरःपत्तन	8.4"x3.6"	22	Sanskrit	Devanagari		
SDPB0359	Purana Rituals	तापीत्रिरात्रव्रत							8.6"x4.8"	3	Sanskrit	Devanagari		
SDPB0359A	Purana Ritual	गर्भसुभगाव्रत							9.1"x4.8"	4	Sanskrit	Devanagari		
SDPB0360	Stotra	गङ्गासहस्रनाम							8"x4.8"	28	Sanskrit	Devanagari		
SDPB0360A	Grammar	व्याकरणग्रन्थ							6.1"x2.4"	6	Sanskrit	Devanagari	Ends abruptly.	
SDPB0361	Tantra Ritual	मुहूर्तकल्पद्रुम							10.8"x4.8"	17	Sanskrit	Devanagari	Ends abruptly.	
SDPB0361A	Stotra	विष्णोरपामार्जनस्तोत्र		आनन्दराम शिवराम दवे		V.S. 1799			8.3"x5"	10	Sanskrit	Devanagari		
SDPB0362	Purana Ritual	माणेकठारीनी पूजा							9"x5"	8	Old Gujarati	Devanagari		
SDPB0362A	Ayurveda	ज्वराङ्कुश							6.3"x3.6"	10	Sanskrit	Devanagari		
SDPB0363	Ayurveda	नाडीपरीक्षा							10.4"x5"	11	Sanskrit	Devanagari		
