Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0489	Dharmashastra	चातुर्मास्ययाजमानमन्त्राः		भट्टम्भट्ट होशिंग		V.S. 1686			6.5"x4.2"	9	Sanskrit	Devanagari		
SDPB0490	Vedic Literature	दर्शपौर्णमास्ययाजमानग्रन्थ							6.4"x4"	22	Sanskrit	Devanagari		
SDPB0491	Kamashastra	रतिरहस्य	विद्याधर						8.5"x4.5"	28	Sanskrit	Devanagari		
SDPB0492	Vedic Literature	दर्शपौर्णमास्यग्रन्थ		भट्टम्भट्ट					8.5"x4"	22	Sanskrit	Devanagari		
SDPB0493	Dharmashastra	होमविधि				V.S. 1815			6.7"x3.8"	29	Sanskrit	Devanagari		
SDPB0494	Purana Ritual	विघ्नेशकल्पोक्तप्रयोग							7.6"x4.9"	4	Sanskrit	Devanagari	Incomplete.	
SDPB0495	Vedanta	वेदान्तसार	सदानन्द	उमाशङ्कर		V.S. 1859			8.5"x4.8"	25	Sanskrit	Devanagari		In slip, the year is wrongly identified as of 1459. Confirmed with numbering style of scribe.
SDPB0496	Vedanta	a. अपत्निकाधानाग्निहोत्रादिनिर्णय, b. नित्यहोमविधि		शङ्कर भट्ट					9.5"x5"	5	Sanskrit	Devanagari		
SDPB0497	Dharmashastra	स्मृतिनिर्णय							10.4"x4.6"	116	Sanskrit	Devanagari	Incomplete. Folios 51-166 only.	
SDPB0498	Nataka	कृष्णभक्तिचन्द्रिका	अनन्तदेव			V.S. 1724			11"x5"	24	Sanskrit	Devanagari		
SDPB0499	Dharmashastra	आशौचप्रकरण	भट्टोजि भट्ट						7.4"x4.7"	10	Sanskrit	Devanagari		
SDPB0500	Vedic Literature	ताण्ड्यब्राह्मण		शिवशङ्कर		V.S. 1782			9.6"x4.2"	280	Sanskrit	Devanagari		
SDPB0501	Grammar	पाणिनि व्याकरण	पाणिनि	शिवशङ्कर		V.S. 1778			6.8"x3.8"	9	Sanskrit	Devanagari	Begins abruptly.	
SDPB0502	Vedic Literature	ऋग्वेदसंहिता		सदाशिव					8.6"x5"	161	Sanskrit	Devanagari		
SDPB0503	Vedic Literature	ऋग्वेदसंहिता							9.3"x5.3"	117	Sanskrit	Devanagari		
SDPB0504	Vedic Literature	ऋग्वेदसंहिता							9.4"x5.4"	110	Sanskrit	Devanagari		
SDPB0505	Vedic Literature	ऋग्वेदसंहिता				V.S. 1825			9.4"x5.3"	113	Sanskrit	Devanagari		
SDPB0506	Vedic Literature	ऋग्वेदसंहिता							9.4"x5.4"	115	Sanskrit	Devanagari		
SDPB0507	Vedic Literature	ऋग्वेदसंहिता (अष्टक ३)		विष्णुशङ्कर दवे		V.S. 1838			9.4"x5.4"	108	Sanskrit	Devanagari		
SDPB0508	Vedic Literature	ऋग्वेदसंहिता							9.4"x5.4"	116	Sanskrit	Devanagari		
SDPB0509	Vedic Literature	ऋग्वेदसंहिता							10"x4.5"	23	Sanskrit	Devanagari	Incomplete.	
SDPB0510	Jyotisha	विक्रमार्कनृपवर्णन	भावरत्न			V.S. 1873			10.2"x5.8"	5	Sanskrit	Devanagari	Incomplete. Folios 30-34 only. Begins abruptly. This is a commentary on ज्योतिर्विदाभरण of कालिदास.	
SDPB0511	Dharmashastra	जातिविवेक	विश्वनाथ	विट्ठलाचार्य		shaka 1784			9.9"x4.4"	15	Sanskrit	Devanagari		
SDPB0512	Stotra	मन्त्रचन्द्रिका	जनार्दन	रामहित		V.S. 1840			10.1"x5"	68	Sanskrit	Devanagari		
SDPB0513	Tantra	मन्त्रमहोदधि	महीधर						8.8"x4.6"	73	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0514	Tantra	मन्त्रमहोदधि	महीधर			V.S. 1744		काशी	10.5"x4.5"	115	Sanskrit	Devanagari	Begins abruptly. Folio 14 is missing.	
SDPB0515	Tantra Ritual	बालात्रिपुरापूजास्तुति		इच्छाराम द्विवेदी		V.S. 1802			6.8"x4.5"	17	Sanskrit	Devanagari	Begins abruptly. Folio 1 is missing.	
SDPB0516	Dharmashastra	वृद्धचाणक्य							6.3"x9.3"	98	Sanskrit	Devanagari, Devanagari	Incomplete.	This is a commentary in Gujarati. Bound like a book.
SDPB0517	Stotra	श्रीलक्ष्मीनारायणस्तोत्र							6"x4"	24	Sanskrit	Devanagari		
SDPB0518	Jyotisha	षट्पञ्चाशिका सटीका	पृथुयशस्						9.5"x5"	27	Sanskrit	Devanagari	Incomplete.	
SDPB0519	Dharmashastra	निर्णयामृत	सूर्यसेन	नारद याज्ञिक		V.S. 1557		भृगुकच्छ	10.2"x4.2"	221	Sanskrit	Devanagari		
SDPB0520	Tantra	दशमहाविद्याक्रम		कृष्णदेव		V.S. 1802			7.7"x4.5"	9	Sanskrit	Devanagari	Begins abruptly. Folio 1-2 missing.	Subject was not specified. तन्त्र written based on the name.
SDPB0521	Vedic Literature	दीपार्णवशत							10"x4.5"	7	Sanskrit	Devanagari		
SDPB0522	Purana Ritual	a. गोत्रिरात्रव्रत, b. गोपूजनविधि							9.8"x4.5"	14	Sanskrit	Devanagari		
SDPB0523	Vedic Ritual	रुद्रानुष्ठानपद्धति		नारायण भट्ट					9.9"x4.4"	39	Sanskrit	Devanagari		
SDPB0524	Vedic Ritual	रुद्रानुष्ठानपद्धति	नारायणसूरि	रमाशङ्कर		V.S. 1875	काशी	सूरत	9.9"x4.2"	31	Sanskrit	Devanagari		
SDPB0525	Vedic Ritual	मूलाध्यायविवरण	कामदेव दीक्षित	वामन पाठक					9.6"x2.9"	11	Sanskrit	Devanagari		Subject was not specified on slip. Inferred from the content. Needs checking.
SDPB0526	Tantra Ritual	मातृकास्थापनाविधि							9.8"x4.6"	3	Sanskrit	Devanagari	Begins abruptly.	
SDPB0527	Tantra Ritual	नवार्णन्यासविधि		कमलाकर शर्मा					9.8"x4.6"	18	Sanskrit	Devanagari		
SDPB0528	Tantra Ritual	a. पार्थिवेश्वरचिन्तामणिपूजाविधि, b. पार्थिवलिङ्गपूजाविधि							9.8"x4.6"	14	Sanskrit	Devanagari	Begins abruptly. Folios 1-2 are missing.	
SDPB0529	Stotra	दिक्पालपूजामन्त्र							9.8"x4.4"	5	Sanskrit	Devanagari		
SDPB0530	Dharmashastra	सन्न्यासप्रयोग	रुद्रदेव	माधवानन्द		V.S. 1858		अश्वनीकुमार	9.5"x4.2"	52	Sanskrit	Devanagari	Begins abruptly. Folios 1-28 are missing.	
SDPB0531	Dharmashastra	गृह्यकर्मप्रयोग							9.6"x4.2"	33	Sanskrit	Devanagari		
SDPB0532	Dharmashastra	सन्न्यासप्रयोग	रुद्रदेव						9.5"x4.2"	28	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0533	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	17	Sanskrit	Devanagari	Folios 449-466 only. Begins and ends abruptly.	
SDPB0534	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	27	Sanskrit	Devanagari	Folios 325-341 only.	
SDPB0535	Grammar	काशिकावृत्ति	वामन	पुरुषोत्तम गोस्वामी					9.3"x4.2"	23	Sanskrit	Devanagari	Folios 302-324 only.	
SDPB0536	Grammar	काशिकावृत्ति	वामन			V.S. 1788			9.3"x4.2"	27	Sanskrit	Devanagari	Folios 275-301 only.	
SDPB0537	Grammar	काशिकावृत्ति	वामन			V.S. 1745			9.3"x4.2"	38	Sanskrit	Devanagari	Folios 237-274 only.	
SDPB0538	Grammar	काशिकावृत्ति	वामन			V.S. 1744			9.3"x4.2"	20	Sanskrit	Devanagari	Folios 217-236 only.	
SDPB0539	Grammar	काशिकावृत्ति	वामन			V.S. 1744			9.3"x4.2"	25	Sanskrit	Devanagari	Folios 136-160 only.	
SDPB0540	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	27	Sanskrit	Devanagari	Folios 161-187 only.	
SDPB0541	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	26	Sanskrit	Devanagari	Folios 188-216 only.	
SDPB0542	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	17	Sanskrit	Devanagari	Folios 103-120 only. Begins abruptly.	
SDPB0543	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	18	Sanskrit	Devanagari	Folios 118-135 only.	
SDPB0544	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	3	Sanskrit	Devanagari	Folios 78-81 only.	
SDPB0545	Grammar	काशिकावृत्ति	वामन			V.S. 1744			9.3"x4.2"	19	Sanskrit	Devanagari	Folios 59-77 only.	
SDPB0546	Grammar	काशिकावृत्ति	वामन			V.S. 1744			9.3"x4.2"	19	Sanskrit	Devanagari	Folios 40-58 only.	
SDPB0547	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	11	Sanskrit	Devanagari	Folios 24-34 only.	
SDPB0548	Grammar	काशिकावृत्ति	वामन			V.S. 1744			9.3"x4.2"	18	Sanskrit	Devanagari	Folios 5-23 only.	
SDPB0549	Grammar	काशिकाविवरणपञ्जिका	जिनेन्द्रबुद्धिपाद	जीवन भट्ट		V.S. 1744			9.5"x4.2"	41	Sanskrit	Devanagari		
SDPB0550	Grammar	काशिकावृत्ति	वामन						9.3"x4.2"	10	Sanskrit	Devanagari		
SDPB0550A	Kavya	राजप्रशंसास्तबक	वंशीधर मिश्र	बुद्धिशर्मन् मिश्र		V.S.1727					Sanskrit	Devanagari		This work seems to be of the Pandit Shivadatta Shukla collection. Slips is of different type.
SDPB0551	Nyaya	गदाधरी	गदाधर						9.9"4x4"	24	Sanskrit	Devanagari		
SDPB0552	Purana Ritual	ऋषिपञ्चमीव्रत							9.3"x4.1"	10	Sanskrit	Devanagari	Incomplete.	
SDPB0553	Tantra Ritual	a. सप्तशत्यङ्गकवचविवरण, b. अर्गलाविवरण, c. कीलकविवरण	नीलकण्ठ भट्ट						7.7."x4.8"	39	Sanskrit	Devanagari		
SDPB0554	Vedic Ritual	दर्शपौर्णमास्यप्रयोग		भट्ट होशिङ्ग					9.6"x4"	4	Sanskrit	Devanagari		
SDPB0555	Kavya	दशकुमारचरित	दण्डिन्			V.S. 1715			10.4"x4"	4	Sanskrit	Devanagari		
SDPB0556	Purana	भगवद्भक्तिप्रशंसा							10.8"x4.6"	466	Sanskrit	Devanagari		
SDPB0557	Purana	शिवरहस्य							10.6"x6.2"	89	Sanskrit	Devanagari	Incomplete.	
SDPB0558	Dharmashastra	a. आह्निकविधि, b. अनन्तपूजा		ईश्वरजी दिक्षित					a. 9"x5", b. 9.1"x5.3"	17	Sanskrit	Devanagari		
SDPB0559	Lexicography	a. विश्वप्रकाश, b. एकाक्षरनाममाला	a. महेश्वर, b. अमर	b. देवराम		V.S. 1783			9.9"x5.9"	112	Sanskrit	Devanagari		
SDPB0560	Vedic Ritual	आप्लवविधि	नारायण						10.8"x6.1"	7	Sanskrit	Devanagari		
SDPB0561	Lexicography	नामलिङ्गानुशासन	अमरसिंह						8.8"x4.8"	18	Sanskrit	Devanagari		In slip, subject was misclassified as grammar.
SDPB0562	Lexicography	अमरकोश सटीक	क्षीरस्वामिन्						10.9"x4.7"	112	Sanskrit	Devanagari		In slip, subject was misclassified as grammar.
SDPB0563	Vedanta	योगानन्द							11.8"x4.9"	41	Sanskrit	Devanagari		
SDPB0564	Grammar	तत्त्वबोधिनी							9.3"x4.6"	2	Sanskrit	Devanagari	Incomplete.	
SDPB0565	Vedanta	आत्मानन्द	मुनिकिङ्कर						11.7"x5"	25	Sanskrit	Devanagari		
SDPB0566	Nyaya	न्यायसिद्धान्तमञ्जरी	चूडामणि						9.5"x4"	45	Sanskrit	Devanagari	Folios 1-13 are missing. Begins abruptly.	
SDPB0567	Nyaya	न्यायग्रन्थ							10"x4.5"	19	Sanskrit	Devanagari		
SDPB0568	Nyaya	अनुमानदीधिति	भट्टाचार्य शिरोमणि						9.8"x4.3"	84	Sanskrit	Devanagari	Folios 1-60 are missing. Begins abruptly.	
SDPB0569	Nyaya	न्यायसिद्धान्तमञ्जरी	चूडामणि						9.6"x3.9"	26	Sanskrit	Devanagari		
SDPB0570	Nyaya	न्यायग्रन्थ							10"x4.4"	15	Sanskrit	Devanagari	Folios 1-2 are missing. Begins abruptly.	
SDPB0571	Nyaya	धर्मितावच्छेद							10"x4.6"	31	Sanskrit	Devanagari		
SDPB0572	Nyaya	गादाधरी	गदाधर						10.5"x4.8"	13	Sanskrit	Devanagari	Folios 101 to 113 only. Begins and ends abruptly.	Not scanned. Check physical manuscript.
SDPB0573	Nyaya	गादाधरी							10.5"x4.8"	21	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0574	Vedanta	a. अद्वैतानन्द, b. विद्यानन्द		रामकृष्ण					11.8"x4.9"	31	Sanskrit	Devanagari	They are chapters of a larger work ब्रह्मानन्द.	
SDPB0575	Vedanta	तत्त्वविवेक	विद्यारण्य						11.5"x4.8"	25	Sanskrit	Devanagari		
SDPB0576	Vedanta	महावाक्यविवेक	विद्यारण्य मुनि						11.7"x4.9"	4	Sanskrit	Devanagari		
SDPB0577	Vedanta	a. पञ्चकोशविवेक, b. पञ्चमहाभूतविवेक	विद्यारण्य मुनि						11.8"x4.9"	35	Sanskrit	Devanagari		
SDPB0578	Vedanta	द्वैतविवेक	विद्यारण्य मुनि						11.8"x4.9"	16	Sanskrit	Devanagari		
SDPB0579	Vedanta	वेदान्ताधिकरणमाला		माधवतीर्थ		V.S. 1656			11.4"x4.7"	129	Sanskrit	Devanagari		
SDPB0580	Vedanta	ध्यानदीप	विद्यारण्य मुनि						11.8"x4.9"	33	Sanskrit	Devanagari		
SDPB0581	Vedanta	कूटस्थदीपव्याख्या	विद्यारण्य मुनि						11.8"x4.9"	17	Sanskrit	Devanagari		
SDPB0582	Vedanta	तृप्तिदीपव्याख्या	विद्यारण्य मुनि						11.8"x4.9"	69	Sanskrit	Devanagari		
SDPB0583	Vedanta	नाटकदीपव्याख्या	विद्यारण्य मुनि						11.8"x4.9"	7	Sanskrit	Devanagari		
SDPB0584	Vedanta	तात्पर्यबोधिनी	विद्यारण्य मुनि						11.8"x4.9"	56	Sanskrit	Devanagari		
SDPB0585	Vaisheshika	पदार्थरत्नमाला		रघुनाथ					10.2"x4.4"	32	Sanskrit	Devanagari	Incomplete. Folios 1-3 are missing. Begins abruptly.	
SDPB0586	Grammar	शब्दानुशासन	हेमचन्द्र						10.6"x4.7"	6	Sanskrit	Devanagari	Incomplete.	
SDPB0587	Vaisheshika	व्याप्तिवाद							9.5"x3.9"	12	Sanskrit	Devanagari		
SDPB0588	Vaisheshika	 दिनकरी (मुक्तावलीप्रकाश)							10"x4.5"	43	Sanskrit	Devanagari		
SDPB0589	Nyaya	गादाधरी (अनुमितिलक्षण)							10.8"x4.5"	83	Sanskrit	Devanagari	Incomplete. Folios 1-42 are missing. Begins abruptly.	
SDPB0590	Purvamimamsa	शास्त्रदीपिका	पार्थसारथि मिश्र						4.7"x10.7"	83	Sanskrit	Devanagari	Incomplete. Folio 1 is missing. Begins abruptly.	
SDPB0591	Nyaya	नवीनमतविचार	महादेव						10"x4.6"	28	Sanskrit	Devanagari		
SDPB0592	Nyaya	गादाधरी							10.5"x4.8"	19	Sanskrit	Devanagari	Ends abruptly.	
SDPB0593	Vedic Literature	ऋग्वेदप्रातिशाख्य		दीक्षित		V.S. 1526			9.3"x4"	43	Sanskrit	Devanagari		
SDPB0594	Purana	सदाशिवसंहिता							10.4"x4.8"	29	Sanskrit	Devanagari	Incomplete. Folio 1 is missing. Begins abruptly.	
SDPB0595	Nyaya	a. न्यायसिद्धान्तमञ्जरी, b. काराकाद्यर्थनिर्णय	a. जानकीनाथ, b. भवानन्द वागीश						a. 10.2"x3", b. 8.7"x3.7"	22	Sanskrit	Devanagari	Both are incomplete.	
SDPB0596	Nyaya	गादाधरी							10.4"x4.9"	15	Sanskrit	Devanagari	Folios 22-36 only. Begins and ends abruptly.	
SDPB0597	Grammar	व्याकरणग्रन्थ							10.1"x4.4"	7	Sanskrit	Devanagari	Folios 33-39 only. Incomplete.	
SDPB0598	Vedanta	वेदान्तसारे ब्रह्मकल्लोल	सदानन्द			V.S. 1772			10.4"x4.6"	6	Sanskrit	Devanagari		
SDPB0599	Dharmashastra	निर्णयसिन्धु	कमलाकर						8.4"x4.9"	52	Sanskrit	Devanagari		
SDPB0600	Nyaya	मुक्तावली	सिद्धान्तपञ्चानन भट्ट	शिवभद्र भट्ट		V.S. 1765			9.9"x3.3"	10	Sanskrit	Devanagari		
SDPB0601	Vaisheshika	सिद्धान्तसार							9.9"x4"	20	Sanskrit	Devanagari	Incomplete.	
SDPB0602	Nyaya	अवच्छेद							9.7"x4.2"	13	Sanskrit	Devanagari	Begins abruptly.	
SDPB0603	Tantra Ritual	भुवनेश्वरीकवच							7"x3.7"	4	Sanskrit	Devanagari		
SDPB0604	Nyaya	न्यायप्रकाश	आपदेव	रविधर		V.S. 1748			9.5"x3.9"	59	Sanskrit	Devanagari		
SDPB0605	Nyaya	नव्यन्यायग्रन्थ							9.6"x4.2"	38	Sanskrit	Devanagari	Begins abruptly.	
SDPB0606	Grammar	तत्त्वबोधिनी	ज्ञानेन्द्रसरस्वती	रघुनाथ भट्ट					10.5"x4.6"	66	Sanskrit	Devanagari		
SDPB0607	Grammar	महाभाष्य	पतञ्जलि						10.5"x4.6"	11	Sanskrit	Devanagari		
SDPB0608	Grammar	महाभाष्य	पतञ्जलि						10.5"x4.6"	9	Sanskrit	Devanagari	Folios 29-37 only.	
SDPB0609	Grammar	महाभाष्य	पतञ्जलि						10.6"x4.8"	28	Sanskrit	Devanagari	Folios 1-28 only.	
SDPB0610	Grammar	तत्त्वबोधिनी उणादिसूत्र	ज्ञानेन्द्रसरस्वती	हरिकृष्ण द्विवेदी		V.S. 1744		वाराणसी	10.9"x4.5"	6	Sanskrit	Devanagari	Begins abruptly.	
SDPB0611	Grammar	व्याकरणग्रन्थ							10.1"x4.4"	11	Sanskrit	Devanagari	Begins abruptly. Folios 21-31 only.	
SDPB0612	Grammar	धातुपाठ	इन्द्रजी						10.7"x4.7"	22	Sanskrit	Devanagari		
SDPB0613	Grammar	शब्दकौस्तुभ	भट्टोजी दीक्षित						10.8"x4.8"	6	Sanskrit	Devanagari	Begins and ends abruptly. Folios 46-50 only.	
SDPB0614	Grammar	व्याकरणग्रन्थ							10.5"x4.8"	9	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0615	Grammar	व्याकरणग्रन्थ							10.5"x4.8"	35	Sanskrit	Devanagari	Ends abruptly.	
SDPB0616	Purvamimamsa	मीमांसाप्रदीप	काण्व शङ्कर शुक्ल						11.1"x4.8"	15	Sanskrit	Devanagari		
SDPB0617	Grammar	व्याकरणग्रन्थ							11"x5"	37	Sanskrit	Devanagari	Incomplete.	
SDPB0618	Grammar	व्याकरणग्रन्थ							10.5"x4.8"	31	Sanskrit	Devanagari	Folios 56-86 only. Begins and ends abruptly.	
SDPB0619	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						9.9"x4.4"	24	Sanskrit	Devanagari	Incomplete.	
SDPB0620	Grammar	व्याकरणग्रन्थ							10.8"x4.8"	44	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0621	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						11.8"x4.6"	18	Sanskrit	Devanagari	Folios 47-64 only. Begins abruptly.	
SDPB0622	Dharmashastra	मदनपारिजात	विश्वेश्वर भट्ट						10.5"x4.4"	92	Sanskrit	Devanagari	Ends abruptly.	
SDPB0623	Philology	निघण्टुभाष्य	देवराजयज्वन्						10.9"x4.7"	122	Sanskrit	Devanagari	Ends abruptly.	
SDPB0624	Vedic Literature	शिक्षा, ज्योतिष्, छन्दस्, निघण्टु		शङ्कर दवे					10.5"x4.8"	19	Sanskrit	Devanagari		
SDPB0625	Philology	निरुक्तवृत्ति							10.9"x4.5"	34	Sanskrit	Devanagari	Folios 40-73 missing. Begins and ends abruptly.	
SDPB0626	Vedic Literature	कौषीतकिब्राह्मणभाष्य	विनायक भट्ट			V.S. 1744			11"x4.8"	164	Sanskrit	Devanagari		
SDPB0627	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						11"x4"	121	Sanskrit	Devanagari	Folios 326-446 only.	
SDPB0628	Dharmashastra	कालनिर्णयसिन्धु	कमलाकर भट्ट						8.4"x4.8"	111	Sanskrit	Devanagari		
SDPB0629	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						11"x4"	326	Sanskrit	Devanagari	पूर्वार्ध only.	
SDPB0630	Vedic Literature	कौषीतकिब्राह्मणभाष्य	विनायक भट्ट						10.8"x4.8"	70	Sanskrit	Devanagari	Incomplete.	
SDPB0631	Grammar	प्रौढमनोरमा	भट्टोजी दीक्षित						10.8"x3.9"	83	Sanskrit	Devanagari	Folios 264-337 only.	
SDPB0632	Grammar	प्रौढमनोरमा	भट्टोजी दीक्षित						10.6"x4"	26	Sanskrit	Devanagari		
SDPB0633	Grammar	प्रौढमनोरमा	भट्टोजी दीक्षित						10.6"x4"	263	Sanskrit	Devanagari		
SDPB0634	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						11.1"x4.1"	74	Sanskrit	Devanagari	Folios 447-520 only.	
SDPB0635	Grammar	शब्दकौस्तुभ	भट्टोजी दीक्षित						10.6"x4.6"	15	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0636	Grammar	शब्दकौस्तुभ	भट्टोजी दीक्षित						10.6"x4.6"	19	Sanskrit	Devanagari	Folios 55-73 only.	
SDPB0637	Grammar	शब्दकौस्तुभ	भट्टोजी दीक्षित						10.6"x4.6"	46	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0638	Vedanta	शारीरकमीमांसाभाष्य	शङ्कर						11.1"x4.9"	42	Sanskrit	Devanagari	Folios 99-140 only.	
SDPB0639	Vedanta	सिद्धान्तमुक्तावली	भट्टाचार्य						11.1"x3.6"	20	Sanskrit	Devanagari	Folios 68-87 only. Begins abruptly.	
SDPB0640	Kavya	सुभाषितानि							11.1"x4.1"	1	Sanskrit	Devanagari		
SDPB0641	Vedanta	विषयानन्द	विद्यारण्य मुनि	मञ्छाराम भट्ट					11.5"x5"	5	Sanskrit	Devanagari		
SDPB0642	Vedic Literature	कैवल्योपनिषद्दीपिका	शङ्कराचार्य						11"x5"	7	Sanskrit	Devanagari		
SDPB0643	Nyaya	गादाधरी							10.5"x4.8"	6	Sanskrit	Devanagari	Folios 37-42 only. Begins and ends abruptly.	In slip, subject wrongly shown as Grammar.
SDPB0644	Vedanta	मुक्तावलिटीका	दिनकर भट्ट						9.9"x4.4"	61	Sanskrit	Devanagari		
SDPB0645	Nyaya	गादाधरी							10.5"x4.8"	100	Sanskrit	Devanagari	Begins and ends abruptly.	In slip, subject wrongly shown as Grammar.
SDPB0646	Vaisheshika	आख्यातवादटीका	रघुदेव						10"x3.9"	28	Sanskrit	Devanagari		In slip, रघुदेव shown as scribe instead of author.
SDPB0647	Nyaya	गादाधरी							4.6"x10.2"	118	Sanskrit	Devanagari	folios 9-126 only. Begins and ends abruptly.	
SDPB0648	Tantra Ritual	बालात्रिपुरापटल							8.2"x4.2"	9	Sanskrit	Devanagari		
SDPB0649	Nyaya	चिन्तामणि	गङ्गेश						11"x3.9"	31	Sanskrit	Devanagari	Folios 22-53 only. Begins and ends abruptly.	
SDPB0650	Nyaya	न्यायमुक्तावली		वामन पाठक					11.1"x3.5"	67	Sanskrit	Devanagari		
SDPB0651	Nyaya	गादाधरी	गदाधर						9.9"x4"	24	Sanskrit	Devanagari		Not scanned. Check with physical copy.
SDPB0652	Nyaya	न्यायग्रन्थ							9.8"x4.3"	47	Sanskrit	Devanagari	Begins abruptly.	In slip, title is shown as हेरम्ब, but it is not at all proper. It seems at the max the name of owner of manuscript.
SDPB0653	Nyaya	भवानन्दी							11.5"x4.3"	240	Sanskrit	Devanagari		
SDPB0654	Nyaya	अनुमानचिन्तामणि							10"x4"	14	Sanskrit	Devanagari	Ends abruptly.	
SDPB0655	Nyaya	गादाधरी	गदाधर						10.5"x4.8"	164	Sanskrit	Devanagari	Folios 9-23 are missing. Begins and ends abruptly.	
SDPB0656	Nyaya	न्यायसिद्धान्तमञ्जरीदीपिका	श्रीकण्ठशर्मा दीक्षित						9.3"x5.3"	56	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0657	Nyaya	शिरोमणि (मूल)		शिवभद्र दीक्षित					10.5"x4.5"	30	Sanskrit	Devanagari	Incomplete.	
SDPB0658	Dharmashastra	चतुर्वर्गचिन्तामणि	हेमाद्रि						10.5"x5.5"	240	Sanskrit	Devanagari	Folios 1-2 are missing. Begins and ends abruptly.	
SDPB0659	Purana	व्रतराज	दैवज्ञ शर्मा						11.7"x5.5"	395	Sanskrit	Devanagari		
SDPB0660	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						12"x5"	225	Sanskrit	Devanagari	पूर्वार्ध only. Folios 1-5 are missing. Begins abruptly.	
SDPB0661	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						12"x4.8"	177	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0662	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						11.8"x4.6"	90	Sanskrit	Devanagari		
SDPB0663	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						12.3"x4.8"	122	Sanskrit	Devanagari	Ends abruptly.	
SDPB0664	Purana	शिवरहस्य							9.9"x5.5"	524	Sanskrit	Devanagari		
SDPB0665	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	19	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0666	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	38	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0667	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	17	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0668	Kavya	महाभारत भारतार्थप्रदीपिकासहित (विराटपर्व)	वेद व्यास, अर्जुन मिश्र						13.8"x5.5"	89	Sanskrit	Devanagari		
SDPB0669	Kavya	महाभारत भारतार्थप्रदीपिकासहित (उद्योगपर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.5"x5.5"	309	Sanskrit	Devanagari		
SDPB0670	Kavya	महाभारत भारतार्थप्रदीपिकासहित (आदिपर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.7"x5.5"	414	Sanskrit	Devanagari		
SDPB0671	Kavya	महाभारत भारतार्थप्रदीपिकासहित (वनपर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.5"x5.5"	502	Sanskrit	Devanagari		Not scanned. Check physical manuscript.
SDPB0672	Kavya	महाभारत भारतार्थप्रदीपिकासहित (सभापर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.7"x5.5"	115	Sanskrit	Devanagari		
SDPB0673	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	17	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0674	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	12	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0675	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	34	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0676	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	18	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0677	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	18	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
