००२२	584	कोश ग्रन्थ	--	--	पेपर	DN	८.२'´ ३.८'	६.४'´२.२'	9	28	16	--	सामान्यस्तरीय:	--	Folios 1,8,10,11 missing, some folios have big holes, text damaged,begins & ends abruptly.	Lexicography
००२३	1347	कोश ग्रन्थ	--	--	पेपर	DN	१०.३'´ ४.५'	९.१'´३.५'	13	40	11	--	मध्यमस्तरीय:	--	Folios 1-9 missing, hence only 2f begins & ends abruptly; verses 272-331 from some work on Kosa, Edges torn.	Lexicography
००२४	७४८ ब	मातृकानिघण्टु	महीदासः	--	पेपर	DN	९.४'´ ४.२'	८.२'´२.८'	7	24	5	केशवजी: s/o आचार्य: गोविंद:	मध्यमस्तरीय:	वि.सं. १७२० (?)	Edges torn.	Lexicography
००२५	807	मातृकानिघण्टु	--	--	पेपर	DN	६.८'´२.८'	५.२'´१.८'	10	40	8	--	सामान्यस्तरीय:	--	Not readable at many places.	Lexicography
००२६	1082	मातृकानिघण्टु	महीदासः	--	पेपर	DN	६.२'´४'	४.६'´२.६'	11	24	4	--	उत्तमस्तरीय:	--	--	Lexicography
००२७	1083	मातृकानिघण्टु	महीदासः	--	पेपर	DN	९.६'´४.२'	७.८'´३.१'	8	24	4	--	उत्तमस्तरीय:	--	Handwriting differs on f.4	Lexicography
००२८	77	पदार्थरत्नमाला सटीक 	महाबल:  s/o रुद्र:	--	पेपर	DN	"१०""´४'"	८.५'´३'	12	35	५+२०=२५	--	उत्तमस्तरीय:	--	5.f of text & 20 f. of text with com. Seperately paginated;edges torn.	Lexicography
००२९	1563	विश्वप्रकाश	महेश्वर:	--	पेपर	DN	"१०.२""´४.७'"	७.२'´३.२'	9	28	44	--	उत्तमस्तरीय:	--	Folios 1-37 missing ;hence only 7 folios begins and ends abruptly,top right margins torn	Lexicography
००३०	496	भूषणसारविवृति (धातुतिङर्थनिर्णय)	--	रुद्रनाथ:	पेपर	DN	10.२'x ४.८'	८.३'x३.४'	12	32	39	--	उत्तमस्तरीय:	--	Dhatutinarthanirnaya a section from Rudranatha's Commentary on Vaiyakaranbhusanasara of Kondabhatta; folios in the beginning moth-eaten & text slightly damaged.	Grammar
००३१	1317	धातुपाठ	पाणिनी: ?	--	पेपर	DN	"८.३""x ४'"	"६""´२.५"""	10	29	6	--	उत्तमस्तरीय:	--	Folios 1-3 missing ,hence only 3 folios. Begins & ends abruptly.	Grammar
००३२	450	व्याकरणग्रन्थ	--	--	पेपर	DN	"१०""x ४.४'"	८.४'x३.४'	15	50	57	--	उत्तमस्तरीय:	--	A work dealing with genders and synonyms; edges torn.	Grammar
००३३	933	काव्यकामघेनुवृत्ति	--	बोपदेव:	पेपर	DN	"९.७""x ४.५'"	८.३'x३.५'	15	40	34	हाथि: S/o त्रिलोचन:	उत्तमस्तरीय:	वि.सं.१५०२	F.1 missing, begins, abruptly. folios 2,3 torn and attempts are made to repair them; text damaged. Bopadeva's Kavyakamadhenuvritti is his commentry on his own Kavikalpadruma.	Grammar
००३४	1334	कारकचक्रनिरूपण	--	--	पेपर	DN	"११.२""x ५'"	९'x४'	14	42	19	--	उत्तमस्तरीय:	--	Ends abruptly, Edges torn.	Grammar
००३५	1335	कारकाद्यर्थनिर्णय	भवानन्द: सिद्धान्तवागिशः	--	पेपर	DN	"१०.९""x३.८'"	९.३'x२.४'	12	52	2	--	उत्तमस्तरीय:	--	Ends abruptly, Edges torn.	Grammar
००३६	32	कारकवाद	जयराम: पञ्चाननः	--	पेपर	DN	"११.२""x ५.२'"	९.७'x३.८'	18	49	10	घनश्याम: जडियः	उत्तमस्तरीय:	शक १७१७	Edges torn	Grammar
