0026	1082	मातृकानिघण्टु	महीदास	--	Paper	DN	6.2"x4"	4.6"x2.6"	11	24	4	--	Good	--	--	Lexicography
0027	1083	मातृकानिघण्टु	महीदास	--	Paper	DN	9.6"x4.2"	7.8"x3.1"	8	24	4	--	Good	--	Handwriting differs on f.4	Lexicography
0028	77	पदार्थरत्नमाला सटीक 	महाबल  s/o रुद्र	--	Paper	DN	10"x4"	8.5"x3"	12	35	5+20=25	--	Good	--	5 f. of text & 20 f. of text with com. Seperately paginated; Edges torn.	Lexicography
0029	1563	विश्वप्रकाश	महेश्वर	--	Paper	DN	10.2"x4.7"	7.2"x3.2"	9	28	44	--	Good	--	Folios 1-37 missing; hence only 7 folios; begins and ends abruptly, top right margins torn.	Lexicography
0030	496	भूषणसारविवृति (धातुतिङर्थनिर्णय)	--	रुद्रनाथ	Paper	DN	10.2"x4.8"	8.3"x3.4"	12	32	39	--	Good	--	धातुतिङर्थनिर्णय, a section from रुद्रनाथ's Commentary on वैयाकरणभूषणसार of कोण्डभट्ट;  Folios in the beginning moth-eaten & text slightly damaged.	Grammar
0031	1317	धातुपाठ	पाणिनि ?	--	Paper	DN	8.3"x4"	6"x2.5"	10	29	6	--	Good	--	Folios 1-3 missing; hence only 3 folios. Begins & ends abruptly.	Grammar
0032	450	व्याकरणग्रन्थ	--	--	Paper	DN	10"x4.4"	8.4"x3.4"	15	50	57	--	Good	--	A work dealing with genders and synonyms; Edges torn.	Grammar
0033	933	काव्यकामघेनुवृत्ति	--	बोपदेव	Paper	DN	9.7"x4.5"	8.3"x3.5"	15	40	34	हाथि S/o त्रिलोचन	Good	V.S.1502	F.1 missing; begins abruptly. folios 2,3 torn and attempts are made to repair them; text damaged. बोपदेव's काव्यकामधेनुवृत्ति is his commentry on his own कविकल्पद्रुम.	Grammar
0034	1334	कारकचक्रनिरूपण	--	--	Paper	DN	11.2"x5"	9"x4"	14	42	19	--	Good	--	Ends abruptly; Edges torn.	Grammar
0035	1335	कारकाद्यर्थनिर्णय	भवानन्द सिद्धान्तवागीश	--	Paper	DN	10.9"x3.8"	9.3"x2.4"	12	52	2	--	Good	--	Ends abruptly; Edges torn.	Grammar
0036	32	कारकवाद	जयराम पञ्चानन	--	Paper	DN	11.2"x5.2"	9.7"x3.8"	18	49	10	घनश्याम जडिय	Good	shaka 1717	Edges torn.	Grammar
0037	24+1339	काशिकावृत्ति	जयादित्य & वामन	--	Paper	DN	a. 11"x5", b. 10"x4.5"	a. 8.5"x3.5", b. 8"x3"	a. 12, b. 10	a. 45, b. 38	67+45+103+107+111+158+65+55=711	--	Fair	--	All अध्यायs separately paginated, folios of अध्यायs I, II, VII, VIII have larger size (a), other have smaller size (b). Foll. in the beginning of I, II torn and text damaged. Foll. in II are ruled by double red lines for margins.	Grammar
0038	1058	क्त्वाप्रत्ययविचार	--	--	Paper	DN	10.3"x5.5"	9"x4.4"	22	50	1	--	Good	--	Edges torn.	Grammar
0039	633	लघुकौमुदी	वरदराज	--	Paper	DN	8"x4"	6.5"x2.5"	7	28	5	--	Good	--	Ends Abruptly.	Grammar
0040	447A	लिङ्गानुशासन वृत्तिसहित	पाणिनि	--	Paper	DN	8.2"x3.7"	6.7"x3"	9	27	6+15=21	केशवजी s/o गोविन्द	Good	V.S. 1713	Foll 1-6 have text & 1-15 have वृत्ति - both separatly paginated. वृत्ति ends abruptly.	Grammar
0041	494	मध्यमनोरमा (सुप्तिङन्तव्याख्यान)	--	राम शर्मा	Paper	DN	9.7"x4.3"	7.6"x2.5"	9	33	68+107=175	--	Good	--	The Ms. has two parts with separate pagination 1-68, 1-107, F.76 is numbered twice. Section on सुप् & तिङ् from मध्यमनोरमा of रामशर्मा on the मध्यसिद्धान्तकौमुदी of वरदराज.	Grammar
0042	485	मध्यसिद्धान्तकौमुदी (उतरार्धकृत्प्रक्रिया)	वरदराज	--	Paper	DN	8.3"x3.8"	6"x2.5"	13	30	19	सिताराम	Good	shaka 1693	--	Grammar
0043	767	मध्यसिद्धान्तकौमुदी (स्वरप्रक्रिया)	वरदराज	--	Paper	DN	8.2"x4"	6.5"x2.6"	12	32	40	राम जडिय	Good	V.S. 1694	F-1-6, 26-35 missing, begins abruptly	Grammar
0044	1358	मध्यसिद्धान्तकौमुदी 	वरदराज	--	Paper	DN	8.3"x4"	6.3"x2"	9	28	9	--	Fair	--	F. 4-18 missing; ends abruptly.	Grammar
0045	1492	मध्यसिद्धान्तकौमुदी 	वरदराज	--	Paper	DN	8.3"x4.2"	6"x2.2"	9	28	18	--	Good	--	F. 1-3, 5, 15, missing; begins and ends abruptly.	Grammar
0046	314	महाभाष्य (१.१.१) प्रदीपसहित	पतंजलि	कैयट	Paper	DN	12"x8.2"	10"x6.2"	24	43	10	--	Fair	--	Commentary ends abruptly.	Grammar
0047	80	महाभाष्य (१.१) प्रदीपसहित	पतंजलि	कैयट	Paper	DN	12"x5.7"	10.6"x4"	(1) 18, (2) 16	55	11+130=141	--	Good	--	Text, F. 1-11; Commentary F. 1-30 seperately paginated.	Grammar
0048	651	पदरत्न चतुर्ज्ञानसहित	--	--	Paper	DN	10.8"x4.2"	8"x2.3"	9	40	22	--	Good	shaka 1720	पदरत्न in 64 कारिकाs gives cryptic rules & examples about vedic पाठs, accent etc. चतुर्ज्ञान exponuds the same.	Grammar
