Sr. No.	Accession No.	Subject	Title	Author	Remarks
1	P0002	Kavya	उपदेशमाला बालावबोधसहित	कर्ता - धर्मदासगणि, टीकाकार - अज्ञात	Incomplete. A work in प्राकृत with मारुगुर्जर narratives. First few folios missing.
2	P0001	Prosody	प्राकृतपिङ्गल		Incomplete. Folio 1 is missing. A work on prosody in Prakrit.

