25	397	387	Dharmshastra Lit & Ritual	अन्त्येष्टिपद्धति	नारायण भट्ट	--	Paper	DN	"8.5""x4.2"""	"6.5""x2.3"""	10	30	10	दामोदर	Good	shaka 1651	--
26	398	648	Dharmshastra Lit & Ritual	अन्त्येष्टिप्रयोग	--	--	Paper	DN	"9.3""x5.1"""	"6.5""x3"""	9	30	70	--	Poor	--	F.1 missing. Foll. 2-7 moth-eaten, text damaged. Begins & ends abruptly.
27	393	402	Dharmshastra Lit & Ritual	अमृतपञ्चरात्र	--	--	Paper	DN	"9.8""x4.5"""	"8""x3.3"""	10	35	12	--	Fair	--	Foll. 1-2 moth-eaten, text damaged.
28	407	273	Dharmshastra Lit & Ritual	अश्वदान	--	--	Paper	DN	"8.2""x4"""	"7.7""x3.6"""	13	42	1	--	Good	--	--
29	404	292	Dharmshastra Lit & Ritual	अस्थिक्षेपप्रकार	--	--	Paper	DN	"6""x4"""	"4""x2.4"""	8	16	4	--	Good	--	--
30	405	609	Dharmshastra Lit & Ritual	अस्थिप्रक्षेपविधि	--	--	Paper	DN	"12""x4.1"""	"9.3""x2.4"""	11	56	3	--	Good	--	From दिनकरोद्योत.
31	406	964	Dharmshastra Lit & Ritual	अस्थ्युद्धरण	--	--	Paper	DN	"8.2""x4"""	"6.1""x2.7"""	9	31	2	--	Good	--	--
32	385	86	Dharmshastra Lit & Ritual	आचारदीप	नागदेव	--	Paper	DN	"9""x5"""	"7.5""x4"""	16	42	40	--	Poor	--	Foll. 1-2,13,16-19 missing. Text damaged on foll. 11-12. Begins & ends abruptly.
33	386	190	Dharmshastra Lit & Ritual	आचारदीप	कमलाकर भट्ट	--	Paper	DN	"8""x3.8"""	"6.6""x3"""	13	27	32	--	Fair	--	Foll. 16-18,20-23 missing. Foll. moth-eaten. Text slightly damaged.
34	387	251	Dharmshastra Lit & Ritual	आचारदीप	नागदेव	--	Paper	DN	"9.5""x6.2"""	"7.2""x4.7"""	17	22	11	--	Good	--	F. 1 missing. Begins & ends abruptly.
35	388	932	Dharmshastra Lit & Ritual	आचारदीप	नागदेव	--	Paper	DN	"8.7""x4"""	"7.3""x2.5"""	10	34	1	रत्नाकरव्यास 	Poor	V.S. 1561	Only last f. having no number. F. torn, moth-eaten. Text damaged.
36	409	102	Dharmshastra Lit & Ritual	आतुरसन्न्यासविधि	--	--	Paper	DN	"9.5""x4.5"""	"7.2""x3"""	10	27	8	--	Good	--	Ends abruptly.
37	399	276	Dharmshastra Lit & Ritual	आराधनप्रयोग	तोरो रुद्रदेव	--	Paper	DN	"8""x4.2"""	"6.4""x2.8"""	11	27	4	--	Good	--	From संन्यस्तपद्धति
38	400	699	Dharmshastra Lit & Ritual	आशौचनिर्णय	त्र्यम्बक	--	Paper	DN	"8.7""x3.4"""	"7""x2"""	8	30	13	--	Good	--	Ends abruptly.
39	401	929	Dharmshastra Lit & Ritual	आशौचनिर्णय शुद्धचन्द्रिकासहित्त	कौशिकादित्य	--	Paper	DN	"8.8""x5"""	"7""x4"""	12	28	12	--	Good	--	--
40	402	963	Dharmshastra Lit & Ritual	आशौचविशेषनिर्णय	नन्द पण्डित	--	Paper	DN	"6""x3.6"""	"5.4""x2.8"""	7	26	1	--	Good	--	--
41	403	665	Dharmshastra Lit & Ritual	आशौचेन्दुशेखर	नागोजी भट्ट	--	Paper	DN	"11.9""x4.1"""	"10""x2.7"""	14	56	16	घनश्याम	Fair	shaka 1734	Foll. 15-16 torn; text damaged on F.16. Black ink on foll. 1-10 & red ink on foll. 11-16.
42	408	44	Dharmshastra Lit & Ritual	आश्वलायनप्रायश्चित्त	--	--	Paper	DN	"10.5""x5"""	"8.2""x3.3"""	12	50	9	--	Good	--	--
43	605	164	Dharmshastra Lit & Ritual	उत्सर्जनकर्मप्रयोग-सभादीपप्रयोग	--	--	Paper	DN	"8""x4"""	"7""x2.7"""	10	27	17	--	Good	--	--
44	604	631	Dharmshastra Lit & Ritual	उत्सर्जनप्रयोग	--	--	Paper	DN	"6.8""x4.4"""	"4.6""x2.8"""	9	18	34	--	Good	--	--
45	601	628	Dharmshastra Lit & Ritual	उदकशान्ति	--	--	Paper	DN	"8.2""x3.8"""	"5.5""x2.3"""	9	33	9	--	Good	--	Ends abruptly.
46	602	865	Dharmshastra Lit & Ritual	उदकशान्ति	--	--	Paper	DN	"8.2""x4"""	"6.5""x2.6"""	10	28	30	धनश्याम	Good	--	--
47	603	854	Dharmshastra Lit & Ritual	उपनयनप्रयोग	नारायणभट्ट	--	Paper	DN	"8.3""x4"""	"7.4""x3"""	15	40	6	--	Good	--	From प्रयोगरत्न. Owner: केशव वाडर.
48	457	122	Dharmshastra Lit & Ritual	एकादशीनिर्णय	राघव	--	Paper	DN	"9.5""x4.8"""	"8.5""x3.3"""	11	34	1	--	Good	--	--
49	458	1297	Dharmshastra Lit & Ritual	एकादशीनिर्णय	--	--	Paper	DN	"12""x4.3"""	"10""x3.2"""	12	48	2	--	Good	--	Ends abruptly.
50	456	19	Dharmshastra Lit & Ritual	एकादशीहोमकरणनिर्णय	--	--	Paper	DN	"10.4""x4.7"""	"8.2""x3"""	12	48	7	--	Good	--	--
51	492	26	Dharmshastra Lit & Ritual	कर्मप्रदीप	कात्यायन	--	Paper	DN	"10""x4.5"""	"8.5""x3"""	10	34	25	--	Good	V.S. 1607	--
52	493	891	Dharmshastra Lit & Ritual	कर्मविपाक	--	--	Paper	DN	"8.5""x5.2"""	"7""x4.2"""	17	40	9	--	Fair	--	F. 4 moth-eaten, text damaged. Ends abruptly.
53	494	1060	Dharmshastra Lit & Ritual	कर्मविपाक	--	--	Paper	DN	"8.2""x5.3"""	"5.5""x3.4"""	15	24	30	--	Good	V.S. 1734	Foll. 1-29 missing. Begins abruptly. Work follows गौतम.
54	495	1065	Dharmshastra Lit & Ritual	कर्मविपाक	--	--	Paper	DN	"8.3""x4.4"""	"7.2""x3.8"""	18	42	6	--	Good	--	--
55	491	214A	Dharmshastra Lit & Ritual	कलशप्रतिष्ठा-ध्वजारोपणमहिमा	श्यामसुन्दर	--	Paper	DN	"8""x5.2"""	"6.5""x4"""	11	24	3	--	Good	--	foll 48-50.
56	490	18	Dharmshastra Lit & Ritual	कालतरङ्ग	चलारी नृसिंहाचार्य	--	Paper	DN	"10.2""x4.7"""	"8.2""x3.2"""	12	46	28	मनसुखराम मेवादा भट्ट	Fair	V.S. 1858	Foll. 20-28 moth-eaten. तिथिनिर्णय - 1 chapter only. Owner: घनश्यामजी.
57	484	483	Dharmshastra Lit & Ritual	कालनिर्णय	आदित्य भट्ट	--	Paper	DN	"9.9""x3.9"""	"8""x2.6"""	9	30	202	--	Poor	--	Foll. 186,194,197,198 missing. Foll. torn, text damaged, attempts at restoration made by sticking pieces of paper. F. 202 seem to have no connection with preceding foll.
58	485	1330	Dharmshastra Lit & Ritual	कालनिर्णय सटीक	--	--	Paper	DN	"11.8""x4.2"""	"10""x2.6"""	10	Text:46, Com:60	4	--	Fair	--	Foll. torn, text damaged on F. 2.
59	486	219	Dharmshastra Lit & Ritual	कालनिर्णयदीपिका	रामचन्द्र	--	Paper	DN	"8.2""x4"""	"7.2""x3.2"""	11	36	13	--	Good	--	Ends abruptly.
60	487	369	Dharmshastra Lit & Ritual	कालनिर्णयदीपिका	रामचन्द्र	--	Paper	DN	"9""x4.7"""	"7""x3"""	8	29	48	राहियाक अध्यापक	Good	V.S. 1753	--
61	488	17	Dharmshastra Lit & Ritual	कालनिर्णयसिद्धान्त सटीक	महादेव	रघुराम	Paper	DN	"10.2""x4.5"""	"7.5""x3"""	10	35	124	--	Good	--	--
62	489	786	Dharmshastra Lit & Ritual	कालनिर्णयसिद्धान्त-टीका	--	रघुराम	Paper	DN	"11.4""x5.2"""	"9""x3.4"""	10	38	102	--	Fair	--	Last f. moth-eaten, text damaged.
63	497	459	Dharmshastra Lit & Ritual	कुबेरमन्त्र	--	--	Paper	DN	"5.5""x3.5"""	"4.8""x3.2"""	11	22	2	--	Good	--	--
64	498	246	Dharmshastra Lit & Ritual	कूपप्रतिष्ठाविधि	--	--	Paper	DN	"10""x6.2"""	"7.6""x4.4"""	14	38	12	हरिगोविन्द	Good	V.S. 1771	--
65	496	380	Dharmshastra Lit & Ritual	कृत्यरत्नावली	रामचन्द्र भट्ट	--	Paper	DN	"8""x4"""	"6.2""x2.5"""	9	27	117	--	Good	--	--
